IDENTIFICADOR_EMPRESA,EMPRESA,FECHA,ANIO,TRIMESTRE,HORA,COD_DANE,DEPARTAMENTO,MUNICIPIO,CENTRO_POBLADO,UBICACION,SEXO,EDAD,TIPO_IDENTIFICACION,VINCULADO_EMPRESA,TIPO_VINCULACION,GRADO_ESCOLARIDAD,TIEMPO_VINCULACION,SECCION_EMPRESA,TIPO_LESION,ORIGEN_ACCIDENTE,CAUSA_ACCIDENTE,MEDIDAS
617.0,EMPRESAS MUNICIPALES DE CARTAGO S.A.S. E.S.P.,2011-09-03 00:00:00,2011,1,12:15:00,76147010,VALLE DEL CAUCA,CARTAGO,ZARAGOZA,ZONA RURAL DISPERSA,M,42,C.C.,S,CONTRATISTA,BACHILLER,120,OperaciÃ³n - DistribuciÃ³n,TetanizaciÃ³n,Fallas de aislamiento,Sobrecarga,Utilizar
617.0,EMPRESAS MUNICIPALES DE CARTAGO S.A.S. E.S.P.,2010-09-09 00:00:00,2010,3,09:55:00,76147000,VALLE DEL CAUCA,CARTAGO,CARTAGO,SECTOR URBANO,M,47,C.C.,S,CONTRATISTA,BÃSICA PRIMARIA,12,Labores de ComercializaciÃ³n,Quemaduras,Malos contactos,Equipo defectuoso,SE IMPLEMENTARA UN PROTOCOLO DE TRABAJO SEGURO
3370.0,EMPRESA DE ENERGIA DE CASANARE SA ESP,2015-05-09 00:00:00,2015,3,09:15:00,85263000,CASANARE,PORE,PORE,ZONA RURAL DISPERSA,M,39,C.C.,S,CONTRATISTA,TÃ‰CNICO,6,OperaciÃ³n - DistribuciÃ³n,Quemaduras,Fallas de operaciÃ³n,Contacto Directo,Instalacion correcta puesta a tierra Reforzar el analisis de riesgos Reforzar al personal en uso adecuado EPP  y equipos de altura Sensibilizar al personal en el procedimiento interno
23442.0,COMPAÃ‘IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,11/27/2014,2014,4,11:40:00,19698020,CAUCA,SANTANDER DE QUILICHAO,QUINAMAYO,ZONA RURAL DISPERSA,M,35,C.C.,S,CONTRATISTA,BÃSICA PRIMARIA,2,Otro - DistribuciÃ³n,Muerte,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,Realizar un programa de capacitacion de identificacion del riesgo  Implementar estrictamente los permisos de trabajo y formatos de analisis de trabajo seguro
617.0,EMPRESAS MUNICIPALES DE CARTAGO S.A.S. E.S.P.,09/18/2014,2014,3,11:45:00,76147000,VALLE DEL CAUCA,CARTAGO,CARTAGO,CENTRO POBLADO,M,52,C.C.,S,PLANTA,BÃSICA PRIMARIA,215,OperaciÃ³n - DistribuciÃ³n,Quemaduras,Fallas de mantenimiento,Arcod ElÃ©ctricos,CAMBIO DE 2 CORTA CIRCUITOS PODA DE ARBOLES Y REVISION DE PROTOCOLOS DE SEGURIDAD Y PERMISOS DE TRABAJO DE ALTO RIESGO
617.0,EMPRESAS MUNICIPALES DE CARTAGO S.A.S. E.S.P.,2019-12-06 00:00:00,2019,2,12:00:00,76147000,VALLE DEL CAUCA,CARTAGO,CARTAGO,SECTOR URBANO,M,59,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - DistribuciÃ³n,Otra,Otra,Contacto Directo,SUPERVISAR LA SENALIZACION ADECUADA PARA LAS LINEAS ELECTRICAS
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2015-02-10 00:00:00,2015,4,15:30:00,44001000,LA GUAJIRA,RIOHACHA,RIOHACHA,CENTRO POBLADO,M,2,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Otra,Falta conductor puesta a tierra,Equipo defectuoso,SE REVISO PUESTA TIERRA DE LA VIVIENDA
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2012-12-08 00:00:00,2012,4,15:00:00,47660000,MAGDALENA,SABANAS DE SAN ANGEL,SAN ANGEL,ZONA RURAL DISPERSA,M,40,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Accidentes externos,Contacto Indirecto,Se desconecto el ramal como medida de seguridad para poder normalizar el circuito  San Angel
617.0,EMPRESAS MUNICIPALES DE CARTAGO S.A.S. E.S.P.,06/26/2017,2017,2,13:30:00,76147000,VALLE DEL CAUCA,CARTAGO,CARTAGO,ZONA RURAL DISPERSA,M,52,C.C.,S,PLANTA,BACHILLER,204,OperaciÃ³n - DistribuciÃ³n,Quemaduras,Otra,Contacto Directo,CAPACITACIONES EN RIESGO ELECTRICO PRIMEROS AUXILIOS Y PROCEDIMIENTOS SEGUROS
617.0,EMPRESAS MUNICIPALES DE CARTAGO S.A.S. E.S.P.,06/20/2016,2016,2,15:00:00,76147000,VALLE DEL CAUCA,CARTAGO,CARTAGO,SECTOR URBANO,M,47,C.C.,S,PLANTA,TÃ‰CNICO,97,OperaciÃ³n - DistribuciÃ³n,Quemaduras,Cortocircuito,Arcod ElÃ©ctricos,CAPACITACION EN AUTOCUIDADO EN LE USO ADECUADO DE LOS EPP Y EN EL DILIGENCIAMIENTO DE LISTA DE CHEQUEO ANTES DE MANIPULAR EL CONTADOR
